id_trim,Make,Model,Serie,Trim,Engine model,Potencia [cm3],Engine power [bhp],Torque [Nm],Engine type,Number of cylinders,Fuel,Engine power at rpm [min-1],Torque at rpm [min-1],Arrangement of cylinders,Environmental standard,Pressurization,Compression ratio,If the rpm with rpm [min-1],Transmission type,Amount of gear,Model transmission,Wheel arrangement,Drive wheels,Fuel tank capacity [litre],Diam`etre de braquage [m],"Angle me to ove. lift, not less [%]",Maximum speed [km/h],Fuel consumption [l/100 km],Gross vehicle weight [kg],Total train weight [kg],Full trailer weight [kg],Tyre dimension,Load on fifth wheel [kg],The load on the front axle [kg],The load on the rear axle (trolley) [kg],"Rims, the dimension",Curb vehicle weight [kg],Cab type,Length of the tractor [mm],Tractor width [mm],Wheelbase [mm],Height of the tractor [mm],Ground clearance [mm],Front track [mm],Rear track [mm],Front brake,Rear brake,Type rear suspension,Type front suspension
76823,MAZ,5432,54326,54326-020,MAN D2866 LF15,11970,370,1520,,,,2000,1100-14000,,EURO I,,,,,16,ZF 16S151,,4x2,500,,,100,"29,6",16100,40000,,"11,00R20",8800,6100,10000,,7050,3-berth with 1 sleeping,,,,,,,,,,Spring,Spring
76824,MAZ,5432,54326,54326-021,MAN D2866 LF15,11970,370,1520,,,,2000,1100-14000,,EURO I,,,,,16,ZF 16S151,,4x2,350,,,100,"29,6",16100,40000,,"11,00R20",8800,6100,10000,,7050,3-berth with 1 sleeping,,,,,,,,,,Spring,Spring
76825,MAZ,5432,54326,54326-022,MAN D2866 LF15,11970,370,1520,,,,2000,1100-14000,,EURO I,,,,,16,ZF 16S151,,4x2,500,,,100,"29,6",16100,40000,,"11,00R20",8800,6100,10000,,7050,3-berth with 1 sleeping,,,,,,,,,,Spring,Spring
76826,MAZ,5432,54326,54326-023,MAN D2866 LF15,11970,370,1520,,,,2000,1100-14000,,EURO I,,,,,16,ZF 16S151,,4x2,500,,,100,"29,6",16100,40000,,"11,00R20",8800,6100,10000,,7050,3-berth with 1 sleeping,,,,,,,,,,Spring,Spring
76827,MAZ,5432,54326,54326-024,MAN D2866 LF15,11970,370,1520,,,,2000,1100-14000,,EURO I,,,,,16,ZF 16S151,,4x2,350,,,100,"29,6",16100,40000,,"11,00R20",8800,6100,10000,,7050,3-berth with 1 sleeping,,,,,,,,,,Spring,Spring
76828,MAZ,5432,54326,54326-025,MAN D2866 LF15,11970,370,1520,,,,2000,1100-14000,,EURO I,,,,,16,ZF 16S151,,4x2,350,,,100,"29,6",16100,40000,,"11,00R20",8800,6100,10000,,7050,3-berth with 1 sleeping,,,,,,,,,,Spring,Spring
76829,MAZ,5432,54326,54326-029,MAN D2866 LF15,11970,370,1520,,,,2000,1100-14000,,EURO I,,,,,16,ZF 16S151,,4x2,500,,,100,"29,6",16100,40000,,"11,00R20",8800,6100,10000,,7050,3-berth with 1 sleeping,,,,,,,,,,Spring,Spring
76830,MAZ,5432,54326,54326-030,MAN D2866 LF15,11970,370,1520,,,,2000,1100-14000,,EURO I,,,,,16,ZF 16S151,,4x2,500,,,100,"29,6",16100,40000,,"11,00R20",8800,6100,10000,,7050,3-berth with 1 sleeping,,,,,,,,,,Spring,Spring
76831,MAZ,5432,54326,54326-031,MAN D2866 LF15,11970,370,1520,,,,2000,1100-14000,,EURO I,,,,,16,ZF 16S151,,4x2,500,,,100,"29,6",16100,40000,,"11,00R20",8800,6100,10000,,7050,3-berth with 1 sleeping,,,,,,,,,,Pneumatic,Spring
76822,MAZ,5432,543268-020,543268-020,MAN D2866 LF15,11970,370,1520,,,,2000,1100-14000,,EURO I,,,,,16,,,4x2,500,,,100,"29,6",16100,40000,,"11,00R20",8800,,,,7050,3-berth with 1 sleeping,,,,,,,,,,Pneumatic,Spring
76820,MAZ,5432,54327,54327-020,YAMZ-238D,14860,330,1225,Disel,8,Diesel fuel,2100,1200-1400,V-type,EURO I,turbine,"15,2",,Manual,9,MAZ-543205,,4x2,500,,,100,"32,3",16500,40000,,"11,00R20",8800,6500,10000,,7050,3-berth with 1 sleeping,,,,,,,,,,Pneumatic,Spring
76821,MAZ,5432,54327,54327-021,YAMZ-238D,14860,330,1225,Disel,8,Diesel fuel,2100,1200-1400,V-type,EURO I,turbine,"15,2",,Manual,9,MAZ-543205,,4x2,350,,,100,"32,3",16500,40000,,"11,00R20",8800,6500,10000,,7050,3-berth with 1 sleeping,,,,,,,,,,Pneumatic,Spring
76819,MAZ,5432,54328,54328-020,MAN D2866 LF15,11970,370,1520,,,,2000,1100-14000,,EURO I,,,,,16,ZF16S151,,4x2,500,,,100,,16100,40000,,"11,00R20",8800,,,,7050,3-bedded without sleeping,,,,,,,,,,Pneumatic,Spring
76818,MAZ,5432,54329-020,54329-020,YAMZ-238M2,14860,240,883,Disel,8,Diesel fuel,2100,1250-1450,V-type,,,,,Manual,5,YAMZ-236P,,4x2,350,,,85,,16000,28000,,"11,00R20",,6000,10000,,7050,3-bedded without sleeping,5980,2500,3550,3650,,,,,,Spring,Spring
76869,MAZ,5433,5433,5433-021,YAMZ-236m2,11150,180,667,Disel,6,Diesel fuel,2100,1250-1450,V-type,,turbine,,,Manual,5,YAMZ-236P,,4x2,200,,,87,"28,5",15000,25000,,"11,00R20",8500,5000,10000,,6430,3-bedded without sleeping,,,,,,,,,,Spring,Spring
76867,MAZ,5433,543302,543302-220,YAMZ-236HE2,11150,230,882,,6,,2100,1100-1300,V-type,EURO II,turbine,,,Automatic,5,YAMZ-236P,,4x2,200,,,95,,15350,25350,,"11,00R20",,5350,10000,,6700,3-bedded without sleeping,5535,2500,3300,2925,,,,,,Spring,Spring
76868,MAZ,5433,543302,543302-222,YAMZ-236HE2,11150,230,882,,6,,2100,1100-1300,V-type,EURO II,turbine,,,Automatic,5,YAMZ-236P,,4x2,200,,,95,,15350,25350,,"12,00R20",,5350,10000,,6700,3-bedded without sleeping,5535,2500,3300,2925,,,,,,Spring,Spring
76866,MAZ,5433,54331,54331-020,YAMZ-236m2,11150,180,667,Disel,6,Diesel fuel,2100,1250-1450,V-type,,turbine,,,Manual,5,YAMZ-236P,,4x2,200,,,83,,15100,25100,,"12,00R20",,5100,10000,,6530,3-bedded without sleeping,,,,,,,,,,Spring,Spring
76896,MAZ,5440,5440,5440,MAN D2866 LF15,11970,370,1520,,,,2000,1100-14000,,EURO I,,,,,16,ZF 16S151,,6x4,500,,,120,25,18000,44000,,"315/80 R22,5",10250,6600,11400,,7600,3-bedded without sleeping,,,,,,,,,,Pneumatic,Spring
76895,MAZ,5440,544003,544003,YAMZ-236BE2,11150,250,1030,Disel,6,Diesel fuel,,,V-type,EURO II,turbine,,,Manual,8,,,4x2,300,,,90,,,34000,,"295/80R22,5",9400,,,,7200,2-berth with 1 sleeping,6000,2500,3600,3050,,,,,,,
76894,MAZ,5440,544004,544004,"YAMZ-7601,10",,300,,Disel,,Diesel fuel,1900,,,EURO II,,,,,,,,,,,,,,,38000,,,,,,,7300,,,,,,,,,,,,
